Coreclockgenes	NumberofTotalInteractions	Circadiannoncoreclock	NumberofTotalInteractions
NA	NA	Scn1b	 31
NA	NA	Sco2	 71
NA	NA	Sdc4	  8
NA	NA	Sdr42e1	 18
NA	NA	Sec14l1	  2
NA	NA	Sec14l2	 15
NA	NA	Sel1l	 25
NA	NA	Sep-03	 36
NA	NA	Sep-09	  1
NA	NA	Sep-10	 12
NA	NA	Sephs1	  1
NA	NA	Serinc1	  7
NA	NA	Serinc3	  7
NA	NA	Serp1	 38
NA	NA	Serpinb9	  4
NA	NA	Serpinf2	 23
NA	NA	Setd1a	 23
NA	NA	Sft2d2	  6
NA	NA	Sgms2	 37
NA	NA	Sgpl1	  1
NA	NA	Sh3glb1	  9
NA	NA	Sh3pxd2a	 44
NA	NA	Shh	 25
NA	NA	Shmt1	  6
NA	NA	Sigmar1	 20
NA	NA	Sip1	 39
NA	NA	Slc12a4	  8
NA	NA	Slc16a1	  6
NA	NA	Slc16a12	 20
NA	NA	Slc17a3	 46
NA	NA	Slc17a4	 30
NA	NA	Slc17a8	 59
NA	NA	Slc17a9	 18
NA	NA	Slc19a1	  8
NA	NA	Slc20a2	 84
NA	NA	Slc22a15	  2
NA	NA	Slc23a2	  6
NA	NA	Slc24a6	  5
NA	NA	Slc25a13	 41
NA	NA	Slc25a32	  5
NA	NA	Slc25a47	  2
NA	NA	Slc29a1	 12
NA	NA	Slc2a4	  8
NA	NA	Slc30a10	  3
NA	NA	Slc30a9	  8
NA	NA	Slc35c1	  5
NA	NA	Slc35c2	  2
NA	NA	Slc36a4	  4
NA	NA	Slc37a4	 21
NA	NA	Slc38a2	 44
NA	NA	Slc38a3	 11
NA	NA	Slc39a6	 17
NA	NA	Slc48a1	  6
NA	NA	Slc4a2	 24
NA	NA	Slc4a4	142
NA	NA	Slc5a6	  2
NA	NA	Slc7a8	 26
NA	NA	Slc9a3r1	 15
NA	NA	Slc9a8	 16
NA	NA	Slmo2	 38
NA	NA	Smagp	  2
NA	NA	Smap2	 28
